Date,Open,High,Low,Close,Adj Close,Volume
2/19/2007,24.709999,24.799999,22.24,22.629999,19.672646,86080
2/26/2007,22.98,23.799999,22.200001,22.66,19.698725,74385
3/5/2007,22.66,23.389999,18.42,20.02,17.403727,130705
3/12/2007,20.59,24.98,19.4,21.73,18.890255,186710
3/19/2007,21.200001,23.379999,20.26,22.120001,19.2293,178535
3/26/2007,22.4,23,21.799999,22.690001,19.724804,290885
4/2/2007,21.85,22.889999,21.42,21.959999,19.090199,31265
4/9/2007,22.4,22.4,21.200001,21.42,18.620771,57120
4/16/2007,21.6,21.790001,18.299999,21.1,18.342588,108140
4/23/2007,21,25.200001,20.389999,20.4,17.734072,117715
4/30/2007,21.799999,21.799999,20.030001,20.27,17.621056,34680
5/7/2007,20.799999,21.26,20.059999,20.549999,17.864468,70285
5/14/2007,21,28.879999,21,24.809999,21.567755,1784165
5/21/2007,25.07,27.4,23.4,25.25,21.950256,374555
5/28/2007,25.1,26.780001,24.82,26.02,22.619627,233920
6/4/2007,26.379999,28.799999,26.1,27.67,24.054003,809720
6/11/2007,27.799999,28.440001,24.610001,28.059999,24.39303,172840
6/18/2007,28.799999,32.5,28.52,30.549999,26.557634,1655210
6/25/2007,30.76,37.43,28.6,33.099998,28.774391,7360175
7/2/2007,33.68,36.400002,32.630001,33.119999,28.791775,1502095
7/9/2007,33,34.91,32.599998,33.66,29.261217,472310
7/16/2007,33.599998,36.639999,33.139999,35.369999,30.74774,792395
7/23/2007,35.549999,35.599998,33.220001,34.619999,30.095751,237960
7/30/2007,34.080002,39.48,34.07,37.32,32.442913,824455
8/6/2007,36.860001,39.080002,35.209999,37.84,32.894951,521290
8/13/2007,37.599998,43.580002,37.490002,40.599998,35.294277,1103600
8/20/2007,41.610001,41.959999,37,38.380001,33.364395,293710
8/27/2007,38.599998,40.950001,36.490002,39.509998,34.346718,103135
9/3/2007,40,41.23,37.419998,38.860001,33.781666,122160
9/10/2007,38.610001,41.200001,38.599998,40.830002,35.494221,186330
9/17/2007,40.200001,42.900002,40.09,40.84,35.771126,235420
9/24/2007,40.400002,42.599998,39.400002,40.66,35.613476,157240
10/1/2007,40.599998,47.18,39.610001,43.299999,37.925808,190535
10/8/2007,42.799999,50.59,41.009998,47.310001,41.438091,900300
10/15/2007,48.990002,56,42.400002,47.349998,41.473129,286605
10/22/2007,40.200001,54.200001,40.200001,53.25,46.640854,400295
10/29/2007,52,56.200001,49.599998,54.700001,47.910881,672805
11/5/2007,56,62,56,60.459999,53.269264,468620
11/12/2007,57.700001,64.800003,55.73,63.880001,56.282513,183410
11/19/2007,64.400002,69,61.619999,64,56.388245,341560
11/26/2007,64,91,64,91,80.177032,361920
12/3/2007,91,100.800003,86,93.370003,82.265137,275300
12/10/2007,96,96,85.029999,89.800003,79.119736,140680
12/17/2007,83,104.800003,83,87.620003,77.199028,52115
12/24/2007,86.599998,97.400002,86.599998,94.190002,82.98764,86170
12/31/2007,93,103.400002,93,99.029999,87.251999,125065
1/7/2008,98,107,84.400002,102.160004,90.009735,309800
1/14/2008,99.959999,105,98.400002,103.949997,91.586845,491035
1/21/2008,101,103.599998,72.410004,87.860001,77.410469,136435
1/28/2008,72.599998,94.019997,72.599998,89.019997,78.432518,27980
2/4/2008,91,95,86,93.900002,82.732132,20335
